4,19830,2700,6509,719,2155,1480,1994,849,3320,1575,720,1105,303,1758,7599,68,6,7
4,19905,2914,6695,404,1075,1467,1910,1097,3572,1807,656,1151,394,1767,7699,39,0,7
3,19930,2991,6714,349,997,1455,2014,985,3526,1782,605,1330,461,2028,7786,47,4,8
1,19831,2850,6746,293,896,1502,2012,1118,3660,1712,636,1430,521,1864,7495,43,3,5
6,19780,3161,6982,636,1668,1486,1793,912,3456,1837,665,906,449,1730,8444,54,4,4
1,19730,2689,6544,229,824,1294,1850,1112,3475,1737,712,1425,422,2056,6901,37,3,3
5,19905,2700,6277,533,1488,1559,2021,883,3328,1620,556,1043,468,1748,7492,38,1,5
3,19755,3061,6941,425,1235,1853,2382,1284,3830,1712,594,1246,506,1786,8400,41,3,10
4,19930,2840,6461,439,1267,1567,2042,1024,3588,1506,594,1198,493,1602,7686,49,1,2
4,19905,2911,6608,379,1119,1739,2271,1004,3626,1910,696,1150,443,1811,7940,77,7,21
2,19755,2835,6490,390,1177,1633,2177,1008,3470,1606,574,1246,461,1784,7693,49,5,2
5,19933,3091,6856,486,1367,1562,2129,1078,3632,1909,639,1152,470,1874,8230,48,4,2
2,19830,2688,6517,348,1100,1292,1689,948,3412,1501,592,1097,324,1856,7016,22,4,9
4,19905,3045,6670,585,1526,1483,1911,876,3243,1823,622,996,344,1819,8158,33,0,6
5,19805,3172,6809,296,804,1406,1826,959,3573,2070,553,1091,433,1704,8046,42,0,4
4,19755,2906,6585,346,1041,1662,2195,991,3519,1887,717,1184,374,1772,7820,47,3,4
3,19855,2967,6725,606,1582,1320,1620,842,3218,1800,579,1114,255,1888,7860,20,1,4
4,19806,2947,6763,568,1590,1616,2079,958,3350,1676,696,1138,300,1888,8078,36,2,9
4,19855,2975,6640,245,787,1748,2255,1042,3457,1771,844,1157,284,1804,7943,24,0,6
4,19805,3005,6776,394,1149,1430,1928,1049,3489,1719,665,1165,404,1801,7834,36,2,4
5,19855,2987,6491,379,1150,1450,1947,992,3370,1860,725,1185,316,1634,7803,51,2,2
5,19830,3242,6990,491,1288,1367,1832,900,3651,2034,735,1171,457,1666,8342,38,3,3
6,19830,2908,6297,449,1270,1591,2194,939,3495,1636,629,1260,529,1672,7856,46,4,2
4,19855,2887,6599,456,1291,1325,1780,963,3348,1775,679,1026,295,1713,7555,42,5,3
2,19805,2847,6664,409,1193,1350,1879,1023,3378,1583,609,1106,392,1761,7453,37,2,1
4,19780,2894,6189,224,641,1750,2349,1021,3402,2103,708,1304,467,1837,7762,31,1,6
