27,14,9995,1488,3360,252,743,778,1060,550,1875,891,293,511,249,813,4006
34,7,9839,1563,3264,258,675,868,1059,440,1821,912,255,500,235,879,4252
33,8,9919,1655,3550,275,782,1046,1373,485,1922,1118,368,592,324,849,4631
34,7,9857,1542,3295,246,668,762,1001,527,1738,996,307,460,276,830,4092
27,14,9912,1747,3746,381,1095,793,1068,554,1818,989,372,520,207,910,4668
31,10,9836,1535,3393,314,905,628,897,528,1865,928,300,523,225,760,4012
21,20,9866,1567,3547,387,1003,830,1062,486,1823,932,290,564,230,960,4351
13,28,9911,1400,3195,148,526,845,1091,401,1656,928,259,573,211,866,3793
30,11,9889,1627,3429,338,874,926,1198,486,1861,1054,344,578,247,847,4518
14,27,9912,1573,3335,342,918,752,1051,418,1707,785,237,627,197,794,4240
9,32,9948,1430,3176,241,708,701,935,364,1548,804,321,580,194,824,3802
19,22,9915,1530,3338,243,656,802,1089,511,1714,963,289,564,182,859,4105
15,26,9890,1548,3388,215,620,651,880,481,1728,840,296,565,154,922,3962
21,20,9949,1426,3239,251,721,882,1163,484,1773,994,261,592,210,935,3985
30,11,9899,1595,3375,303,800,693,902,460,1720,963,337,465,163,742,4186
15,26,9918,1486,3338,244,741,758,1087,542,1773,722,252,574,91,853,3974
25,16,9851,1538,3209,405,1012,805,1126,391,1721,850,237,568,169,817,4286
22,19,9873,1534,3303,147,497,759,1087,523,1739,879,375,559,200,813,3974
30,11,9920,1715,3429,338,861,838,1072,378,1744,1042,245,526,310,820,4606
28,13,9918,1499,3259,283,722,729,947,438,1675,958,251,486,181,794,4010
26,15,9916,1521,3285,252,686,986,1224,429,1683,731,343,607,188,891,4280
34,7,9854,1510,3226,306,804,689,903,390,1726,920,270,495,184,748,4015
13,28,9918,1575,3503,160,472,742,948,483,1817,876,261,587,217,845,4052
25,16,9941,1602,3372,301,757,683,831,405,1676,994,285,420,186,789,4188
37,4,9832,1680,3274,242,584,866,1135,446,1683,1127,379,540,190,955,4468
25,16,9920,1529,3338,293,805,768,981,510,1708,846,333,509,201,779,4119
31,10,9840,1511,3217,293,812,730,987,433,1679,919,294,505,171,772,4045
35,6,9956,1604,3227,283,685,796,1035,431,1712,1015,307,574,199,917,4287
23,18,9939,1411,3106,231,660,790,1050,440,1685,869,286,622,246,879,3843
28,13,9939,1574,3419,238,619,892,1114,493,1743,887,323,540,253,801,4278
39,2,9885,1545,3234,327,824,779,1000,442,1754,895,322,482,231,797,4196
32,9,9934,1611,3362,297,795,835,1013,461,1780,987,312,511,233,796,4354
